station_id,station_name,brand,lat,lng,date,fuel_type,price,synthetic
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-01-01,diesel,74.73,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-01-08,diesel,74.32,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-01-15,diesel,74.42,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-01-22,diesel,75.0,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-01-29,diesel,74.59,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-02-05,diesel,73.9,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-02-12,diesel,73.27,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-02-19,diesel,72.62,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-02-26,diesel,71.89,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-03-05,diesel,72.46,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-03-12,diesel,72.74,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-03-19,diesel,73.34,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-03-26,diesel,72.7,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-04-02,diesel,73.73,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-04-09,diesel,73.41,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-04-16,diesel,73.38,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-04-23,diesel,74.23,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-04-30,diesel,74.67,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-05-07,diesel,75.62,True
synthetic_caltex_003,Caltex Station 3,Caltex,7.05502,125.624132,2026-05-14,diesel,75.72,True
